"index","full_name","brand_name","resale_price","registered_year","engine_capacity(cc)","insurance","transmission_type","kms_driven","Hand","fuel_type","max_power(bhp)","seats","mileage(kmpl)","body_type","city"
7768,"Hyundai Grand i10 1.2 Kappa Sportz BSIV","Hyundai",524000,2017,1197,"1","Manual",22025,"3rd","Petrol",81.86,5.0,18.9,"Hatchback","Hyderabad"
7769,"Hyundai i20 Sportz 1.2","Hyundai",596000,2017,1197,"1","Manual",55766,"2nd","Petrol",81.83,5.0,18.6,"Hatchback","Hyderabad"
7770,"Maruti Baleno Zeta","Maruti",761000,2020,1197,"1","Manual",5878,"2nd","Petrol",81.8,5.0,21.01,"Hatchback","Hyderabad"
7771,"Hyundai Venue SX Turbo","Hyundai",925000,2021,998,"1","Manual",44700,"2nd","Petrol",118.35,5.0,18.27,"SUV","Hyderabad"
7772,"Maruti Baleno 1.2 CVT Alpha","Maruti",740000,2018,1197,"1","Automatic",80000,"2nd","Petrol",83.1,5.0,21.4,"Hatchback","Hyderabad"
7773,"Maruti Swift Dzire Tour 1.3 S Diesel","Maruti",550000,2019,1248,"1","Manual",110000,"2nd","Diesel",74.02,5.0,19.95,"Sedan","Hyderabad"
7774,"Maruti Swift VDI Optional","Maruti",700000,2018,1248,"1","Manual",50000,"2nd","Diesel",74.0,5.0,25.2,"Hatchback","Hyderabad"
7775,"Kia Seltos HTX Plus Diesel","Kia",1500000,2019,1493,"1","Manual",40000,"2nd","Diesel",113.43,5.0,20.8,"SUV","Hyderabad"
7776,"Tata Manza Aura Plus Quadrajet BS IV","Tata",245000,2010,1248,"1","Manual",80000,"3rd","Diesel",90.0,5.0,19.0,"Sedan","Hyderabad"
7777,"Tata Tiago XZA Plus AMT BSVI","Tata",660000,2020,1199,"1","Automatic",40000,"3rd","Petrol",84.82,5.0,19.0,"Hatchback","Hyderabad"
7778,"Hyundai Venue SX Sport iMT","Hyundai",1020000,2021,998,"1","Manual",30000,"2nd","Petrol",118.35,5.0,18.0,"SUV","Hyderabad"
7779,"Hyundai Xcent 1.1 CRDi S","Hyundai",450000,2017,1120,"1","Manual",120000,"2nd","Diesel",71.0,5.0,24.4,"Sedan","Hyderabad"
7780,"Maruti Swift VXI","Maruti",428000,2014,1197,"1","Manual",95255,"3rd","Petrol",88.5,5.0,22.38,"Hatchback","Hyderabad"
7781,"Maruti Swift Dzire AMT VDI","Maruti",748000,2018,1248,"1","Automatic",49260,"2nd","Diesel",74.02,5.0,28.4,"Sedan","Hyderabad"
7782,"Maruti Ciaz Zeta BSVI","Maruti",887000,2021,1462,"1","Manual",9849,"2nd","Petrol",103.25,5.0,20.65,"Sedan","Hyderabad"
7783,"Maruti Alto K10 VXI","Maruti",236000,2013,998,"1","Manual",92370,"2nd","Petrol",65.71,5.0,24.39,"Hatchback","Hyderabad"
7784,"Hyundai i10 Magna","Hyundai",255000,2012,1197,"1","Manual",75979,"3rd","Petrol",78.9,5.0,20.36,"Hatchback","Hyderabad"
7785,"Hyundai Grand i10 Asta","Hyundai",436000,2014,1197,"1","Manual",59973,"2nd","Petrol",82.0,5.0,18.9,"Hatchback","Hyderabad"
7786,"Maruti Swift Dzire VXI","Maruti",531000,2016,1197,"1","Manual",94426,"2nd","Petrol",88.5,5.0,22.41,"Sedan","Hyderabad"
7787,"Maruti Swift Dzire VXI 1.2","Maruti",700000,2020,1197,"1","Manual",63899,"2nd","Petrol",81.8,5.0,21.21,"Sedan","Hyderabad"
7788,"Hyundai Grand i10 1.2 Kappa Sportz BSIV","Hyundai",527000,2017,1197,"1","Manual",82163,"2nd","Petrol",81.86,5.0,18.9,"Hatchback","Hyderabad"
7789,"Renault KWID 1.0 RXL BSVI","Renault",426000,2022,999,"1","Manual",29828,"2nd","Petrol",67.06,5.0,21.46,"Hatchback","Hyderabad"
7790,"Hyundai i20 Sportz 1.2","Hyundai",632000,2017,1197,"1","Manual",66561,"2nd","Petrol",81.83,5.0,18.6,"Hatchback","Hyderabad"
7791,"Hyundai Xcent 1.1 CRDi S","Hyundai",365000,2015,1120,"1","Manual",90000,"2nd","Diesel",71.0,5.0,24.4,"Sedan","Hyderabad"
7792,"Nissan Terrano XL D Option","Nissan",900000,2019,1461,"1","Manual",50000,"2nd","Diesel",83.14,5.0,19.87,"SUV","Hyderabad"
7793,"Maruti Swift ZXI","Maruti",650000,2020,1197,"1","Manual",90000,"2nd","Petrol",81.8,5.0,21.21,"Hatchback","Hyderabad"
7794,"Hyundai Venue S BSIV","Hyundai",765000,2021,1197,"1","Manual",20000,"2nd","Petrol",81.86,5.0,17.52,"SUV","Hyderabad"
7795,"Maruti Swift Dzire Tour 1.3 S Diesel","Maruti",650000,2019,1248,"1","Manual",110000,"3rd","Diesel",74.02,5.0,19.95,"Sedan","Hyderabad"
7796,"Tata Manza Aura (ABS) Quadrajet BS IV","Tata",300000,2011,1248,"1","Manual",70000,"2nd","Diesel",88.8,5.0,21.12,"Sedan","Hyderabad"
7797,"Hyundai Verna 1.6 EX VTVT","Hyundai",425000,2012,1591,"1","Manual",50000,"2nd","Petrol",121.3,5.0,17.01,"Sedan","Hyderabad"
7798,"Fiat Linea Dynamic Pack","Fiat",250000,2010,1368,"1","Manual",110000,"3rd","Petrol",89.0,5.0,16.0,"Sedan","Hyderabad"
7799,"Hyundai i10 Magna","Hyundai",277000,2011,1197,"1","Manual",96502,"2nd","Petrol",78.9,5.0,20.36,"Hatchback","Hyderabad"
7800,"Maruti Alto 800 LXI","Maruti",206000,2013,796,"1","Manual",64268,"3rd","Petrol",47.33,5.0,22.05,"Hatchback","Hyderabad"
7801,"Maruti Ciaz Alpha BSVI","Maruti",895000,2022,1462,"1","Manual",31638,"2nd","Petrol",103.25,5.0,20.65,"Sedan","Hyderabad"
7802,"Maruti Ertiga VDI","Maruti",712000,2015,1248,"1","Manual",67668,"2nd","Diesel",88.76,7.0,20.77,"MUV","Hyderabad"
7803,"Maruti Swift Dzire AMT ZDI","Maruti",772000,2018,1248,"1","Automatic",64700,"2nd","Diesel",74.02,5.0,28.4,"Sedan","Hyderabad"
7804,"Maruti Ritz ZXi","Maruti",372000,2014,1197,"1","Manual",75773,"3rd","Petrol",85.8,5.0,18.5,"Hatchback","Hyderabad"
7805,"Maruti Swift VXI","Maruti",612000,2020,1197,"1","Manual",69199,"2nd","Petrol",88.5,5.0,22.38,"Hatchback","Hyderabad"
7806,"Hyundai i10 Magna","Hyundai",331000,2013,1197,"1","Manual",82113,"2nd","Petrol",78.9,5.0,20.36,"Hatchback","Hyderabad"
7807,"Maruti Swift Dzire ZXI","Maruti",601000,2016,1197,"1","Manual",52315,"2nd","Petrol",88.5,5.0,22.41,"Sedan","Hyderabad"
7808,"Maruti Swift Dzire VXI","Maruti",304000,2011,1197,"1","Manual",45783,"2nd","Petrol",88.5,5.0,22.41,"Sedan","Hyderabad"
7809,"Maruti Ciaz 1.4 AT Delta","Maruti",650000,2017,1373,"1","Automatic",60000,"2nd","Petrol",91.1,5.0,19.12,"Sedan","Hyderabad"
7810,"Mahindra Bolero DI - AC BS III","Mahindra",250000,2014,2523,"1","Manual",80000,"","Diesel",63.0,9.0,15.96,"SUV","Hyderabad"
7811,"BMW X1 sDrive20d","BMW",1320000,2012,1995,"1","Automatic",90000,"2nd","Diesel",184.0,5.0,17.05,"SUV","Hyderabad"
7812,"Tata Tiago 1.2 Revotron XT","Tata",470000,2017,1199,"1","Manual",30000,"2nd","Petrol",84.0,5.0,23.84,"Hatchback","Hyderabad"
